,ae264e3637204a6fb9bb56bc8210ddfd,4d5c57ea9a6940dd891ad53e9dbe8da0,3f207df678b143eea3cee63160fa8bed,9b98b8c7a33c4b65b9aebfe6a799e6d9,0b1e1539f2cc45b7b9fa7c272da2e1d7,2298d6c36e964ae4a3e7e9706d1fb8c2,fafdcd668e3743c1bb461111dcafc2a4,5a8bc65990b245e5a138643cd4eb9837,f19421c1d4aa40978ebb69ca19b0e20d,2906b810c7d4411798c6938adc9daaa5,trans_total,avg_trans,trans_offer_ratio,age,became_member_on,gender,income,member_since_year,member_for_days
0610b486422d4921ae7d2bf64640c50b,,,,,,,,,,,77.01,25.671000000000003,0.001,55.0,2017-07-15,F,112000.0,2017,438.0
78afa995795e4d85b5d9ceeca43f5fef,1.0,,,1.0,,,,1.0,,,159.27,22.753857142857147,0.26225447353550574,75.0,2017-05-09,F,100000.0,2017,505.0
e2127556f4f64592b11af22de27a7932,,,,1.0,,,1.0,,,0.0,57.730000000000004,19.244333333333337,0.3200715399272475,68.0,2018-04-26,M,70000.0,2018,153.0
389bc3fa690240e798340f5a15918d5c,,,,0.5,,,1.0,,1.0,1.0,36.43,12.144333333333332,1.001,65.0,2018-02-09,M,53000.0,2018,229.0
2eeac8d8feae4a8cad5a6af0499a211d,,,,,,0.0,1.0,,,,15.62,3.9059999999999997,0.796774647887324,58.0,2017-11-11,M,51000.0,2017,319.0
aa4862eba776480b8bb9c68455b8c2e1,,1.0,,,0.0,,,0.0,1.0,,85.55,14.259333333333332,0.2919409701928697,61.0,2017-09-11,F,57000.0,2017,380.0
e12aeaf2d47d42479ea1c4ac3d8286c6,0.0,,,,,,,,,,56.22,5.111909090909091,0.001,26.0,2014-02-13,M,46000.0,2014,1686.0
31dda685af34476cad5bc968bdb01c53,,,,,0.0,1.0,0.5,,,,160.25,20.03225,0.32830109204368174,62.0,2016-02-11,F,71000.0,2016,958.0
62cf5e10845442329191fc246e7bcea3,1.0,,,,,,,1.0,,,144.10999999999999,16.013222222222222,0.8766505447227813,49.0,2014-11-13,M,52000.0,2014,1413.0
6445de3b47274c759400cd68131d91b4,,,,,,1.0,,,,,19.1,3.1843333333333335,0.3732513089005235,57.0,2017-12-31,M,42000.0,2017,269.0
